# First 1000 channels from apk_info_top_with_ranking.csv, sorted by Amazon ranking
amazon_category_ranking,apk_name,apk_id,product_id,product_name,overlap_token_count,developer_name
232,myradar,com.acmeaom.android.myradartv,B00RF0BMKK,MyRadar TV Weather Radar,1,ACME AtronOmatic%2C LLC
233,curiositystream,com.curiosity.curiositystream,B017C70WHE,CuriosityStream - Watch Documentaries Online (TV),1,CuriosityStream
234,mad ball racer,maddyball.android,B01N9ISHSM,Mad Ball Racer,3,Neil Barkhina
235,100 pics,com.onehundredpics.onehundredpicsquiz,B00IYHROVO,100 PICS Quiz,2,100 PICS Ltd
236,shudder,com.onemainstream.shudderprod.android,B06Y4BGK2V,Shudder,1,Shudder LLC 
237,reelz,com.brightcoveps.reelz.androidtv,B0789Y9KG9,Reelz,1,Brightcove
238,fun with roblox by happykids tv,com.future.funwithroblox,B07MF7RMQ3,Fun with Roblox by HappyKids.tv,6,Future Today Inc
239,jungle adventures,com.renderedideas.jungleadventures.amazon,B07LFZWGL2,Jungle Adventures,2,Rendered Ideas
241,ted,com.ted.android.tv,B00QJ8DQZ8,TED TV,1,TED Conferences
242,snow party wt lite,com.ratrodstudio.snowparty2lite,B01AYCKMV0,Snowboard Party: World Tour,1,Maple Media
243,rally road,com.gamecomobile.rallyroad,B07KFKJL6R,Rally Road,2,GameCo Mobile LLC
244,movies by fawesome tv,com.future.moviesByFawesomeAndroidTV,B076X8FKXP,Movies by Fawesome.tv,4,Future Today Inc
246,hangman tv,com.encodedmessages.asparuh.hangmantv,B0165XA54Q,Hangman TV,2,Iliyan Ivanov
247,mmx hill dash,com.hutchgames.hillclimb,B01MFF456Z,MMX Hill Dash - Off-Road Racing,3,Hutch
248,fighter physics,com.galacticbits.fighterphysics,B00RY50IWY,Fighter Physics,2,Galactic Bits%2C Inc
249,filmrise free movies tv,com.future.filmrise,B07DBBTDBS,FilmRise,1,Future Today Inc
250,fox nation,com.fng.foxnation,B07L5W9MVB,Fox Nation,2,Fox News Channel
252,analiti,com.analiti.fastest.android,B01MST12IX,analiti - WiFi Tester &amp; Analyzer,1,analiti LLC
253,vimeo,com.vimeo.android.tv,B00HSCHET8,Vimeo,1,Vimeo%2C Inc
254,netflix,com.netflix.ninja,B00OGRMULA,Netflix,1,Netflix%2C Inc
255,yoga intl,com.maz.home449,B076X47BLK,Yoga International,1,Yoga International
257,nettv plus,vlaf.android.player.nettv,B01DPOG358,NetTv Plus,2,NetTV Plus
258,fields of battle,com.superxstudios.fob,B00ILID0G4,Fields of Battle,3,Super X Studios LLC
259,247comedy,firetv.bigstartv.comedy,B078N55D6T,247 Comedy,0,Bigstar Movies
262,npr one for fire tv,com.amazon.rialto.cordova.webapp.webapp8954290a8460442bb9b46cb10045a98f,B019965WDU,NPR One for Fire TV,5,NPR
264,ifc,com.ifc.firetv,B077SXYLCL,IFC,1,AMC Networks
265,urban movie channel,com.amazon.rialto.cordova.webapp.webapp29771723480a4f05a4afd07b0a7add95,B016APTPSQ,Urban Movie Channel,3,RLJ Entertainment
268,fitfusion,tv.vhx.fitfusion,B071RPTRQY,FitFusion by Jillian Michaels for Fire Stick or Fire TV,1,FITFUSION
269,bmx kid,com.renderedideas.bmxkid,B078TC7PJK,BMX Kid,2,Rendered Ideas
270,bleacher report live,com.catchsports.catchsports,B07F6RGWX4,Bleacher Report Live,3,Bleacher Report Live
271,sundance now,com.onemainstream.docclubtes.android,B06XYS2KD1,Sundance Now,2,Sundance Now
272,bombsquad,net.froemling.bombsquad,B00E7NAVZA,BombSquad,1,Eric Froemling
273,filmrise western,com.future.filmrisewest,B07QCXD3YH,FilmRise Western,2,Future Today Inc
275,locast,com.tvapp.locast,B07JQ3P98K,Locast.org,1,Sports Fans Coalition Developer
276,player,com.liveplayer,B071FPBK5T,Player for YouTube,1,Player for YouTube App
277,stingray qello,com.qello.amazon,B00876QEXQ,Stingray Qello,2,Qello LLC
278,bookmarker 1,com.esaba.bookmarker1,B0785L4TC3,Bookmarker 1,1,AFTVnews.com
279,epix,com.amazon.rialto.cordova.webapp.webappebaff62698e4422da601235d5a704f45,B0719CW3P3,EPIX,1,EPIX
280,test netspeed,io.github.visnkmr.mynetspeedtest,B07G8H4WDQ,NetSpeed Test (Upload  Download and Ping),2,Vishnu N K
